id,answer,answer_value,question_id
123,"невозмутимость;",1,57
124,"увлеченность.",2,57
125,"окончательные и определенные утверждения;",1,58
126,"предварительные и неоднозначные утверждения.",2,58
127,"после принятия решения;",1,59
128,"не ограничивая себя решениями.",2,59
129,"легко завязываете продолжительные беседы;",1,60
130,"не всегда находите общие темы для разговора.",2,60 
131,"своему опыту;",1,61
132,"своим предчувствиям.",2,61
133,"более практичным, чем изобретательным;",1,62
134,"более изобретательным, чем практичным.",2,62
135,"рассудительный, здравомыслящий человек;",1,63
136,"человек, глубоко переживающий.",2,63
137,"быть прямым и беспристрастным;",1,64
138,"сочувствовать людям.",2,64
139,"удостовериться, что все подготовлено и улажено;",1,65
140,"предоставить событиям идти своим чередом.",2,65
141,"на предварительной взаимной договоренности;",1,66
142,"в зависимости от обстоятельств.",2,66
143,"торопитесь подойти первым;",1,67
144,"надеетесь, что подойдет кто-нибудь другой.",2,67
145,"развитое чувство реальности;",1,68
146,"пылкое воображение.",2,68
147,"тому, что сказано;",1,69
148,"тому, как сказано.",2,69
149,"излишняя пылкость, горячность;",1,70
150,"чрезмерная объективность, беспристрастность.",2,70
151,"трезвым и практичным;",1,71
152,"сердечным и отзывчивым.",2,71
153,"регламентированные и упорядоченные;",1,72
154,"неупорядоченные и нерегламентированные.",2,72
155,"педантичный, чем капризный;",1,73
156,"капризный, чем педантичный.",2,73
157,"быть открытым, доступным людям;",1,74
158,"быть сдержанным, скрытным.",2,74
159,"буквальность, конкретность;",1,75
160,"образность, переносный смысл.",2,75
161,"находить общий язык с другими;",1,76
162,"использовать других в своих интересах.",2,76
163,"ясности размышлений;",1,77
164,"умения сочувствовать.",2,77
165,"быть неприхотливым;",1,78
166,"быть излишне привередливым.",2,78
167,"запланированные события;",1,79
168,"незапланированные события.",2,79
169,"обдуманно, чем импульсивно;",1,80
170,"импульсивно, чем обдуманно.",2,80
171,"Это позволяет больше знать.",1,81
172,"Чтобы потом поступить в институт и получить престижную профессию.",2,81
173,"Потому что в наше время плохо учиться стыдно.",3,81
174,"Чтобы избежать опеки и постоянного контроля со стороны учителей родителей.",4,81
175,"Потому что заставляют родители и учителя.",5,81
176,"Активного общения со сверстниками.",1,82
177,"Подготовиться к успешной сдаче единого государственного экзамена (ЕГЭ).",2,82
178,"Спокойно закончить школу.",3,82
179,"Определиться с будущей профессией.",4,82
180,"Углубить свои знания по интересующим меня предметам.",5,82
181,"Делать то, что знакомо, привычно.",1,83
182,"Чтобы в работе постоянно появлялось что-то новое, чтобы не стоять на месте.",2,83
183,"Чтобы было точно известно, что нужно сделать и что я за это получу.",3,83
184,"Готов(а) делать все, что нужно организации.",4,83
185,"Не отвечать за ошибки других.",5,83
186,"Если бы другой школе дают более хорошие и качественные знания.",1,84
187,"Если в школе мне дадут больше самостоятельности.",2,84
188,"Если на этом настаивают родители.",3,84
189,"При всех случаях я предпочел (предпочла) бы остаться в той школе, к которой привык (привыкла).",4,84
200,"Если эта школа даст возможность успешно реализовать мои дальнейшие планы.",5,84
201,"Плата за время и усилия, потраченные на выполнение работы.",1,85
202,"Это, прежде всего, будет плата за мои знания, компетентность, квалификацию.",2,85
203,"Оплата за мой трудовой вклад в общие результаты деятельности организации.",3,85
204,"Стабильный, постоянный доход.",4,85
205,"Важно то, что я перестану зависеть от родителей.",5,85
206,"Четкое выполнение Ваших требований.",1,86
207,"Оригинальное и творческое выполнение заданий.",2,86
208,"Его человеческие качества.",3,86
209,"Умение отстаивать свое мнение.",4,86
210,"То, что он не создает мне проблем.",5,86
211,"Место общения с друзьями.",1,87
212,"Необходимая ступень для поступления в институт.",2,87
213,"Место для проявление и реализации своих способностей.",3,87
214,"Обязанность, установленная обществом.",4,87
215,"Начало взрослой жизни.",5,87
216,"С желанием подчеркнуть свою индивидуальность.",1,88
217,"Со стремлением реализовать свои способности.",2,88
218,"С желанием быть не хуже других.",3,88
219,"С желанием получить одобрение учителя.",4,88
220,"С желанием получить адекватное вознаграждение.",5,88
221,"Коллектив для меня очень важен, так как одному хороших результатов не добиться.",1,89
222,"Предпочитаю работать автономно, но чувствую себя так же нормально, когда работаю вместе с интересными людьми.",2,89
223,"Мне нужна свобода действий, а коллектив чаще всего эту свободу ограничивает.",3,89
224,"Можно работать и в коллективе, но мой личный вклад в результаты должен быть замечен и оценен.",4,89
225,"Мне нравится работать в коллективе, гак как там я среди своих.",5,89
226,"Возможность участвовать в управлении школой и вносить свои рациональные предложения.",1,90
227,"Способ проявить себя.",2,90
228,"Возможность получить навыки в построении своей будущей карьеры.",3,90
229,"Отвлечение от основного дела - учебы.",4,90
230,"Личное дело каждого.",5,90
231,"Творческую, но не всегда высоко оплачиваемую.",1,91
232,"Высоко оплачиваемую, но рутинную.",2,91
233,"Где мой успех зависит только от меня.",3,91
234,"Затрудняюсь ответить.",4,91
235,"Где я буду чувствовать себя комфортно.",5,91
236,"Материальный достаток.",1,92
237,"Известность и уважение в обществе.",2,92
238,"Способность не вмешиваться в жизнь других людей.",3,92
239,"Достижение выдающихся результатов в деятельности.",4,92
240,"Самостоятельность и независимость.",5,92
241,"Освоить новую профессию.",1,93
242,"Пережить временные  трудности даже при условии снижения заработной платы.",2,93
243,"Попытаться изменить положение за счет лучшей организации труда.",3,93
244,"Проанализировать ситуацию и обнародовать свою точку зрения.",4,93
245,"Выждать и посмотреть на развитие событий.",5,93
246,"Да. Они имеют возможность принимать самостоятельные, ответственные решения.",1,94
247,"Да. Они имеют возможность приносить наибольшую пользу школе, классу.",2,94
248,"Да. Они имеют возможность организовать работу других школьников.",3,94
249,"Да. Они имеют возможность наилучшим образом реализовать свои опыт и знания.",4,94
250,"Нет. У них только сплошные лишние хлопоты.",5,94
251,"Иногда я предоставляю другим возможность взять на себя ответственность за решение спорного вопроса.",1,95
252,"Чем обсуждать то, в чем мы расходимся, я стараюсь обратить внимание на то, с чем мы оба согласны.",2,95
253,"Я стараюсь найти компромиссное решение.",1,96
254,"Я пытаюсь уладить дело с учетом интересов другого и моих собственных.",2,96
255,"Обычно я настойчиво стремлюсь добиться своего.",1,97
256,"Я стараюсь успокоить другого и главным образом сохранить наши отношения.",2,97
257,"Я стараюсь найти компромиссное решение.",1,98
258,"Я иногда жертвую своими собственными интересами ради интересов другого человека.",2,98
259,"Улаживая спорную ситуацию, я все время стараюсь найти поддержку у другого.",1,99
260,"Я стараюсь сделать все, чтобы избежать бесполезной напряженности.",2,99
261,"Я пытаюсь избежать возникновения неприятностей для себя.",1,100
262,"Я стараюсь добиться своего.",2,100
263,"Я стараюсь отложить решение спорного вопроса с тем, чтобы со временем решить его окончательно.",1,101
264,"Я считаю возможным в чем-то уступить, чтобы добиться другого.",2,101
265,"Обычно я настойчиво стремлюсь добиться своего.",1,102
266,"Я первым делом стараюсь ясно определить то, в чем состоят все затронутые интересы и вопросы.",2,102
267,"Я думаю, что не всегда стоит волноваться из-за каких-то возникающих разногласий.",1,103
268,"Я предпринимаю все усилия, чтобы добиться своего.",2,103
269,"Я твердо стараюсь достичь своего.",1,104
270,"Я пытаюсь найти компромиссное решение.",2,104
271,"Первым делом я стараюсь ясно определить то, в чем состоят все затронутые интересы и вопросы.",1,105
272,"Я стараюсь успокоить другого и главным образом сохранить наши отношения.",2,105
273,"Зачастую я избегаю занимать позицию, которая может вызвать споры.",1,106
274,"Я даю возможность другому в чем-то остаться при своем мнении, если он также идет навстречу мне.",2,106
275,"Я предлагаю среднюю позицию.",1,107
276,"Я настаиваю, чтобы было сделано по-моему.",2,107
277,"Я сообщаю другому свою точку зрения и спрашиваю о его взглядах.",1,108
278,"Я пытаюсь показать другому логику и преимущества моих взглядов.",2,108
279,"Я стараюсь успокоить другого и главным образом сохранить наши отношения.",1,109
280,"Я стремлюсь сделать все необходимое, чтобы избежать напряженности.",2,109
281,"Я стараюсь не задеть чувств другого.",1,110
282,"Я пытаюсь убедить другого в преимуществах моей позиции.",2,110
283,"Обычно я настойчиво стараюсь добиться своего.",1,111
284,"Я стараюсь сделать все, чтобы избежать бесполезной напряженности.",2,111
285,"Если это сделает другого счастливым, я дам ему возможность настоять на своем.",1,112
286,"Я даю возможность другому в чем-то остаться при своем мнении, если он также идет мне навстречу.",2,112
287,"Первым делом я стараюсь ясно определить то, в чем состоят все затронутые интересы и спорные вопросы.",1,113
288,"Я стремлюсь отложить решение спорного вопроса с тем, чтобы со временем решить его окончательно.",2,113
289,"Я пытаюсь немедленно преодолеть наши разногласия.",1,114
290,"Я стараюсь найти наилучшее сочетание выгод и потерь для нас обоих.",2,114
291,"Ведя переговоры, я стремлюсь быть внимательным к желаниям другого.",1,115
292,"Я всегда склоняюсь к прямому обсуждению проблемы.",2,115
293,"Я пытаюсь найти позицию, находящуюся посередине между моей позицией и точкой зрения другого человека.",1,116
294,"Я отстаиваю свои желания.",2,116
295,"Как правило, я озабочен тем, чтобы удовлетворить желание каждого из нас.",1,117
296,"Иногда я предоставляю возможность другим взять на себя ответственность за решение спорного вопроса.",2,117
297,"Если позиция другого кажется ему очень важной, я стараюсь пойти навстречу его желаниям.",1,118
298,"Я стараюсь убедить другого прийти к компромиссу.",2,118
299,"Я пытаюсь показать другому логику и преимущества моих взглядов.",1,119
300,"Ведя переговоры, я стремлюсь быть внимательным к желаниям другого.",2,119
301,"Я предлагаю среднюю позицию.",1,120
302,"Я обычно озабочен тем, чтобы удовлетворить желание каждого из нас.",2,120
303,"Зачастую я избегаю позиции, которая может вызвать споры.",1,121
304,"Если это сделает другого счастливым, я дам ему возможность настоять на своем.",2,121
305,"Обычно я настойчиво стремлюсь добиться своего.",1,122
306,"Улаживая ситуацию, я часто стремлюсь найти поддержку у другого.",2,122
307,"Я предлагаю среднюю позицию.",1,123
308,"Не всегда стоит волноваться из-за каких-то возникающих разногласий.",2,123
309,"Я стараюсь не задеть чувств другого.",1,124
310,"Я всегда занимаю такую позицию в споре, чтобы мы совместно с заинтересованным человеком могли добиться успеха.",2,124
